                         Nota de entrega

Proveedor : Constructa International

Lista de productos:

Producto                        Cantidad
Isolatieplaat 3cm               10
Flex voegmortel antraciet 2kg   13
EgalMAX 25kg                    11
Handslijper                     6
Wapeningsgaas 20m               8
Schaar voor metalen profielen   20
Knauf Snelbouwschroeven 35mm    8
Snelgips 2 kg                   12
Uniflott 5 kg                   8
Afdichtingsemulsie 5kg          4
Snelcement 5 kg                 12
Directafhanger 200x60mm         1
Primer diepgrond 1 L            9
Snelgips 10kg                   3
Gipsplaat 120x60                6
Montagekit 310ml                7
Spatwaterdichte coating 2L      4
Hoekprofiel aluminium 250cm     19
Egalisatie universeel 20kg      12
Flex-voegmortel beige 2kg       6
Vuurvaste mortel 5kg            1
Perlfix 10kg                    10
Dichtingsband 30mx50mm          6
Flexvoegmortel zilvergrijs 5kg  10
Filler to finish 5kg            4

