Id,ErpProductId,Name,Name2,Reference,Ean,Brand,Manufacturer,Model,Comment,Link,PicName,PriceHT,UnitPrice,CPrice,RPrice,VatIncluded,TypeVatPerc,DiscountPerc,DiscountPrice,ProductDiscountPerc,TypeDiscountPerc,PromoActive,PromoPrice,PromoStartDate,PromoEndDate,StockQuantity,StockDate,Quantity,PerUnit,PieceID,Weight,Height,Width,Depth,MainTypeID,MainTypeName,MainSubTypeID,MainSubTypeName,TypeID,TypeName,SubTypeID,SubTypeName,SubProductID,Label,ColorCode,Archived,CreatedAt,UpdatedAt,LastSyncAt,DataSource,FromExcel,SourceFile,BrandId,CategoryId,CreatedBy,UpdatedBy,_BrandName,_CategoryNameFr,_CategoryLevel
15998,RAPID-6489749,Filtre à carburant,Fuel Filter,D20294,,1A FIRST AUTOMOTIVE,1A FIRST AUTOMOTIVE,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/4814/d3b2d4728d53a40c204b346455361c8abcff1123.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,16.6000,,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,795,37,,,1A FIRST AUTOMOTIVE,Additional Repairs,Type
15999,RAPID-6489812,Filtre à carburant,Fuel Filter,D20435,,1A FIRST AUTOMOTIVE,1A FIRST AUTOMOTIVE,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/4814/03e5bdb5a65b32edce94f3f7e6a5a4ca76f88cdf.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,16.6000,,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,795,37,,,1A FIRST AUTOMOTIVE,Additional Repairs,Type
16000,RAPID-1309951,Galet tendeur de courroie de distribution,"Tensioner Pulley, timing belt",13722,,3RG,3RG,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/4598/a11dc0093ec8cb06ec9cbeb76b04c459ceb86f94.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,0.3200,,2.5500,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,796,37,,,3RG,Additional Repairs,Type
16001,RAPID-2085632,Jeu de mâchoires de frein,Brake Shoe Set,22523VV,,4U Autoparts,4U Autoparts,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/4420/dfb1629922f5498d2340adf24b8d1dfa8dcf7acf.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,1.8300,,4.0000,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,797,37,,,4U Autoparts,Additional Repairs,Type
16002,RAPID-2744110,Galet tendeur de courroie de distribution,"Tensioner Pulley, timing belt",32505VV,,4U Autoparts,4U Autoparts,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/4420/0f567dd8e4f6282e7ba26a616229c9ddaa7edd3b.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,3.5000,3.0000,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,797,37,,,4U Autoparts,Additional Repairs,Type
16003,RAPID-6825636,Courroie de distribution,,EST-40-00-010,,4X4 ESTANFI,4X4 ESTANFI,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/6372/508d4c14cc02aafb6b2a0e874c645cd984668927.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,,2.5000,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,798,37,,,4X4 ESTANFI,Additional Repairs,Type
16004,RAPID-6828058,Jeu de plaquettes de frein à disque,"Brake Pad Set, disc brake",EST-50-00-0082,,4X4 ESTANFI,4X4 ESTANFI,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/6372/d533d4a6a83a4c077d932e6c54e48fbbb8209a4b.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,,7.0000,11.9000,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,798,37,,,4X4 ESTANFI,Additional Repairs,Type
16005,RAPID-21393197,Jeu de plaquettes de frein à disque,"Brake Pad Set, disc brake",EST-50-00-0903,,4X4 ESTANFI,4X4 ESTANFI,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/6372/76fef56bf1ab87ccf22e977e08959d89d3299871.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,,,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,798,37,,,4X4 ESTANFI,Additional Repairs,Type
16006,RAPID-84960792,Jeu de mâchoires de frein,Brake Shoe Set,SVG10387,,7 SEVEN PARTS,7 SEVEN PARTS,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/6903/29136bb92300d2ced47e362c5e10133c195d0c3b.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,,,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,799,37,,,7 SEVEN PARTS,Additional Repairs,Type
16007,RAPID-78851769,Jeu de mâchoires de frein,Brake Shoe Set,SVG10408,,7 SEVEN PARTS,7 SEVEN PARTS,,,,https://fsn1.your-objectstorage.com/tecdoc2025/media_files/images/6903/cbf74d48c330129a6b928cebe7bd59e56142d29c.webp,0.0000,0.0000,0.0000,0.0000,0,21.0000,0.0000,,0.0000,0.0000,0,,,,0.0000,2026-08-06 14:24:09,1.0000,piece,,,,,,,Additional Repairs,,,,Additional Repairs,,,,,,0,2026-08-06 14:24:09,2026-08-09 23:07:29,2026-08-09 23:07:29,RapidApi,0,,799,37,,,7 SEVEN PARTS,Additional Repairs,Type
